T25,Land,,,,,
104,Myanmar,2019,Forest cover (thousand hectares),"28,834",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
104,Myanmar,2019,Arable land (% of total land area),16.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
104,Myanmar,2019,Permanent crops (% of total land area),2.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
104,Myanmar,2019,Forest cover (% of total land area),44.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
104,Myanmar,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),22.19,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
104,Myanmar,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),22.31,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
516,Namibia,2005,Land area (thousand hectares),"82,329",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2005,Arable land (thousand hectares),814,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2005,Permanent crops (thousand hectares),6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2005,Forest cover (thousand hectares),"7,704",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2005,Arable land (% of total land area),1.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2005,Permanent crops (% of total land area),0.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2005,Forest cover (% of total land area),9.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),42.32,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
516,Namibia,2010,Land area (thousand hectares),"82,329",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2010,Arable land (thousand hectares),800,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2010,Permanent crops (thousand hectares),9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2010,Forest cover (thousand hectares),"7,349",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2010,Arable land (% of total land area),1.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2010,Permanent crops (% of total land area),0.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2010,Forest cover (% of total land area),8.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),83.47,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
516,Namibia,2019,Land area (thousand hectares),"82,329",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2019,Arable land (thousand hectares),800,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2019,Permanent crops (thousand hectares),10,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2019,Forest cover (thousand hectares),"6,710",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2019,Arable land (% of total land area),1.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2019,Permanent crops (% of total land area),0.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2019,Forest cover (% of total land area),8.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
516,Namibia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),86.18,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
516,Namibia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),86.18,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
520,Nauru,2005,Land area (thousand hectares),2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2005,Permanent crops (thousand hectares),0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2005,Forest cover (thousand hectares),0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2005,Permanent crops (% of total land area),20.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2005,Forest cover (% of total land area),0.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
520,Nauru,2010,Land area (thousand hectares),2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2010,Permanent crops (thousand hectares),0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2010,Forest cover (thousand hectares),0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2010,Permanent crops (% of total land area),20.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2010,Forest cover (% of total land area),0.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
520,Nauru,2019,Land area (thousand hectares),2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2019,Permanent crops (thousand hectares),0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2019,Forest cover (thousand hectares),0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2019,Permanent crops (% of total land area),20.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2019,Forest cover (% of total land area),0.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
520,Nauru,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
520,Nauru,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
524,Nepal,2005,Land area (thousand hectares),"14,335",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
524,Nepal,2005,Arable land (thousand hectares),"2,280",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
524,Nepal,2005,Permanent crops (thousand hectares),133,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
524,Nepal,2005,Forest cover (thousand hectares),"5,871",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
524,Nepal,2005,Arable land (% of total land area),15.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
524,Nepal,2005,Permanent crops (% of total land area),0.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
